Negative,Polarity,Positive,Subjectivity,author,content,description,publishedAt,source,title,url,urlToImage
0,0.0,0,0.0,"Matt Egan, CNN Business",,General Electric is turning to an outsider to clean up a mess that took decades to create.,2018-10-03T16:05:57Z,"{'id': 'cnn', 'name': 'CNN'}",GE's new boss has to fix things -- fast,https://www.cnn.com/2018/10/01/business/ge-ceo-larry-culp-flannery/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181001141200-100118-lary-culp-ge-ceo-gfx-super-tease.jpg
0,0.0,0,0.0,Brian Heater,"Whats that you say, friend? Havent had enough Google news for the day? Have no fear. Heres a little extra from the folks at General Electric. The company announced this afternoon that its C by GE bulbs are the first to carry Made for Google certification. Tha… [+612 chars]","What’s that you say, friend? Haven’t had enough Google news for the day? Have no fear. Here’s a little extra from the folks at General Electric. The company announced this afternoon that its C by GE bulbs are the first to carry Made for Google certification. …",2018-10-09T16:00:00Z,"{'id': 'techcrunch', 'name': 'TechCrunch'}",GE’s new light bulbs work with Google Assistant without a hub,http://techcrunch.com/2018/10/09/ges-new-lightbulbs-work-with-google-assistant-without-a-hub/,https://techcrunch.com/wp-content/uploads/2018/10/GEGoogle_HomeMini_pmLight.jpg?w=711
0,0.0,0,0.0,Alwyn Scott,"(Reuters) - General Electric Co ( GE.N ) ousted Chief Executive Officer John Flannery in a surprise move on Monday, replacing him with outsider and board member Larry Culp, and said it would take a roughly $23-billion charge to write off goodwill in its power… [+4661 chars]","General Electric Co ousted Chief Executive Officer John Flannery in a surprise move on Monday, replacing him with outsider and board member Larry Culp, and said it would take a roughly $23-billion charge to write off goodwill in its power division, primarily …",2018-10-01T16:11:52Z,"{'id': 'reuters', 'name': 'Reuters'}","General Electric replaces CEO with outsider, shares soar",https://www.reuters.com/article/us-ge-ceo/general-electric-replaces-ceo-with-outsider-shares-soar-idUSKCN1MB2CY,https://s4.reutersmedia.net/resources/r/?m=02&d=20181001&t=2&i=1310072234&w=1200&r=LYNXNPEE901TV
1,-0.9999990000010001,0,0.025641024983563465,Jonathan Garber,"General Electric head John Flannery is out after just more than a year at the top of the company. He will be replaced as chairman and CEO by H. Lawrence Culp, Jr. GE shares are up more than 10% on the news. GE said it will take a $23 billion goodwill charge f… [+1090 chars]","General Electric head John Flannery is out after just more than a year at the top of the company. He will be replaced as chairman and CEO by H. Lawrence Culp, Jr. GE said it will take a $23 billion goodwill charge for its power business. It also warned that i…",2018-10-01T11:23:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",General Electric CEO John Flannery is out (GE),https://www.businessinsider.com/general-electric-john-flannery-removed-as-ceo-2018-10,https://amp.businessinsider.com/images/5b33d78b1ae6621d008b5868-1920-960.jpg
1,-0.9999990000010001,0,0.023255813412655504,,"By Alwyn Scott (Reuters) - General Electric Co ousted Chief Executive Officer John Flannery in a surprise move on Monday, replacing him with outsider and board member Larry Culp, and said it would take a roughly $23-billion charge to write off goodwill in its… [+3941 chars]","The struggling energy, health and transportation conglomerate said it would fall short of its forecast for free cash flow and earnings per share for 2018 due to weakness in its power business, something analysts had expected. GE shares jumped 14 percent to $1…",2018-10-01T14:55:24Z,"{'id': None, 'name': 'Yahoo.com'}","General Electric replaces CEO with outsider Culp, shares soar",https://www.yahoo.com/news/ge-ceo-john-flannery-steps-down-112129609--sector.html,https://s.yimg.com/uu/api/res/1.2/JBQICUTH7feIM2kdkC9pUw--~B/aD0zMjI7dz00NTA7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en_us/News/Reuters/2018-10-01T112238Z_2_LYNXNPEE901TV_RTROPTP_2_GE-DIVESTITURE.JPG
0,0.0,0,0.0,,"General Electric announced Monday that it will replace chief executive John Flannery, who took over the industrial giant just over a year ago. H. Lawrence Culp, former chief executive of Danaher Corp., will replace him. GE also said it will take a $23 billion… [+6526 chars]","Washington Post General Electric replaces new chief executive and announces $23 billion charge amid struggles Washington Post General Electric announced Monday that it will replace chief executive John Flannery, who took over the industrial giant just over a …",2018-10-01T14:12:10Z,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",General Electric replaces new chief executive and announces $23 billion charge amid struggles - Washington Post,https://www.washingtonpost.com/business/2018/10/01/general-electric-replaces-new-chief-executive-announces-massive-billion-charge-amid-struggles/,https://www.washingtonpost.com/resizer/tzK4s9FDeRfGruQhU0lj7frF4dc=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/PZNRJRWFNYI6RHAPF75PNVBCVI.jpg
3,-0.49999987500003124,1,0.10256409993425386,Jim Zarroli,"John Flannery is being replaced as head of General Electric after a little more than a year on the job. Richard Drew/AP General Electric has booted out its chairman and chief executive, John Flannery, after a little more a year on the job, amid declining prof… [+1148 chars]","General Electric has booted out its CEO, John Flannery, amid declining profits and cash-flow problems. He will be replaced by H. Lawrence Culp, a current GE board member and former Danaher Corp. CEO.",2018-10-01T13:31:04Z,"{'id': None, 'name': 'Npr.org'}",GE Chief Out After Barely A Year On The Job,https://www.npr.org/2018/10/01/653281767/ge-chief-out-after-barely-a-year-on-the-job,https://media.npr.org/assets/img/2018/10/01/ap_17318592404045_wide-050d5c3efe3f762322ed93ea0fb25c023c97677b.jpg?s=1400
2,-0.99999950000025,0,0.035087718682671604,Graham Rapier,"Mike Simons / Getty Images Credit rating agency Moody's said Tuesday it placed General Electri c and its subsidiary GE Capital Global Holdings ""on review for downgrade"" after the company announced Monday it would likely miss 2018 earnings projections thanks t… [+1668 chars]","General Electric on Monday announced a $23 billion charge in its struggling power business that will likely cause it to miss its 2018 earnings guidance. Moody's, a credit ratings agency, said Tuesday that it was reviewing the company's financial situation and…",2018-10-02T15:19:05Z,"{'id': 'business-insider', 'name': 'Business Insider'}",Moody's is considering downgrading General Electric after the company said it would miss 2018 earnings forecasts (GE),https://markets.businessinsider.com/news/stocks/ge-stock-price-moodys-considering-downgrade-after-company-said-will-miss-earnings-forecast-2018-10-1027584175,https://static1.businessinsider.com/image/5bb3879392b36916ca5f89b6-900/ge-5.jpg
5,-0.99999980000004,0,0.11363636105371908,,"General Electric Company (NYSE: GE ) confirmed this week that it has had a major failure in one of its turbines at the Colorado Bend power plant. While GE is downplaying the impact of the issue, GE investors and analysts are losing patience with the strugglin… [+2386 chars]",General Electric Company (NYSE: GE) confirmed this week that it has had a major failure in one of its turbines at the Colorado Bend power plant. J.P. Morgan analyst Stephen Tusa says it's unclear just how big of a deal the failure is at this point. Regardless…,2018-09-21T10:34:10Z,"{'id': None, 'name': 'Yahoo.com'}",General Electric Company (GE) Stock Is Going From Bad to Worse,https://www.yahoo.com/news/general-electric-company-ge-stock-going-bad-worse-103410123.html,https://s.yimg.com/os/mit/media/m/social/images/social_default_logo-1481777.png
4,-0.9999997500000625,0,0.06153846059171599,Ethel Jiang,"General Electric hasn't bottomed yet and incremental bad news will continue to weigh on its stock price, RBC says. ""General Electric declined to 'rip the band-aid' during 2Q18 earnings and cut its full-year EPS guidance of $1.00,"" a team of RBC analysts led b… [+2499 chars]","General Electric hasn't bottomed yet and incremental bad news will continue to weigh on its stock price, RBC says. Shares faced a huge sell-off after the company said last Thursday that it discovered an ""oxidation issue"" in its gas turbine fan blades. GE shar…",2018-09-28T15:48:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}","General Electric's stock hasn't bottomed yet because it didn't 'rip the band aid off,' RBC says (GE)",https://www.businessinsider.com/ge-stock-price-hasnt-bottomed-yet-rbc-says-2018-9,https://amp.businessinsider.com/images/5bae3ea9304c3837228b456c-1920-960.jpg
